User;Time;esta/no esta?
36158373;3170983;no esta
42212074;3322449;no esta
80638509;3351035;no esta
16298941;2846717;esta
70250962;2838610;esta
64989989;3287462;no esta
24439288;2904317;esta
46471734;3117223;no esta
31015576;3103142;esta
24495458;2992209;esta
87786536;3258023;no esta
33972571;803412;esta
96793251;3246075;no esta
94612413;3250769;no esta
49741059;3076262;no esta
17271445;3455142;no esta
88023238;3101436;no esta
14596324;2813009;esta
86167967;3018236;no esta
88184911;3121916;no esta
63526910;3016103;no esta
02400741;3201703;no esta
06702509;4038822;no esta
91206491;3283196;esta
20916234;2725543;esta
69852646;3153916;no esta
14617685;3115942;no esta
42348160;3098876;no esta
31970143;3377489;no esta
80914119;3108263;no esta
74447197;2762663;esta
21195226;2821543;esta
53192405;2895356;no esta
62270815;3176956;no esta
18515149;3037863;no esta
30881218;3180796;no esta
80396670;3038289;no esta
39578289;2641490;esta
00373935;3206396;no esta
36942536;3089490;no esta
22612527;2903036;esta
36433853;3671888;no esta
35336022;2895356;esta
22597362;3632636;no esta
18391353;4387408;no esta
17538217;2941436;esta
97580466;2693116;esta
94822275;3196156;esta
71837824;2768637;esta
67235073;3205542;no esta
56713209;3077116;no esta
86595034;3133862;no esta
08981927;2967889;no esta
06470529;2897063;esta
89129133;2954236;esta
46430084;3303249;no esta
07552392;3117223;no esta
98067507;3027196;esta
05411292;3199996;no esta
92480297;3160742;no esta
89978980;3204690;no esta
68626275;2998183;no esta
18213863;2916690;esta
24198068;2994769;esta
68432840;3376209;no esta
56838182;3148369;no esta
10630689;3245650;no esta
02230516;3181649;no esta
59745728;3188902;no esta
93016467;3609595;no esta
51512555;3127036;no esta
36345387;2948690;esta
28924303;3154769;no esta
52847245;2955943;esta
85552330;3103569;esta
65160722;2833916;esta
78696215;3269969;no esta
48037321;3110823;no esta
37330786;2872316;esta
07161787;3229862;esta
12739214;3058770;no esta
45192991;3187622;no esta
58278902;3244796;no esta
17932966;3189329;no esta
47541958;3217916;no esta
59111483;3080103;esta
55006880;3109543;no esta
56446384;3194023;no esta
44856425;3050236;no esta
22949572;3307943;no esta
89683958;3042982;no esta
44951585;2719569;esta
59266489;3709862;esta
74343919;2865916;esta
70907552;3359569;no esta
28459595;3448315;no esta
88573194;3093330;no esta
20716835;2837756;esta
22456206;2951250;esta
63845133;3414;esta
08644441;3151783;no esta
94050154;3125756;no esta
56183734;3252902;no esta
69645424;3194023;no esta
65500845;3051942;no esta
44804000;3251623;no esta
52016631;3157755;no esta
33144327;3115943;no esta
83846613;2932050;esta
99773120;3210663;no esta
32870827;3226022;no esta
51193734;3080103;no esta
87213572;2826236;esta
20441933;3109969;no esta
